publication_code,issue_id,item_id,newspaper_title,data_provider,date,year,month,day,location,word_count,ocrquality,political_leaning_label,price_label,text
2249,624,art0017,The Bee-Hive.,British Library Heritage Made Digital Newspapers,1871-06-24,1871,6,24,"London, England",271,0.9098,liberal,1d,"THE TICHBORNE CASE.  On Tuesday, before the Solicitor-General resumed the cross-examinatiori dr the claimant to the Tiohborne Baronetcy, Mr. Serjeant Dal lantino made an .important • application to the Court. He said that as it would be ,perfectly impossible to complete the plaintiff's ease and toiopen the defenee by August 10, the last day on which the Court can legally sit before the long vacation, ho would suggest an‘adjeurnmeat of the case about the 10th July. ln this suggestion, which will in all probability be acceded to, the 'Solicitor-General coneurred, and the foreman of the jury hinted that it; would be convenient to ro-assemble about November 7. Mr. Radcliffe then ruse in the body of the court,und stated that ha wished 6 address his lordship on ,the ground that he .was an ""injured party."" Mr. Serjeant Ballantine, however, objected, and the judge told Mr. Radcliffe ! that lie had no locus stands.. The claimant's oress7examination opened 'up a very interesting phase of the ease. Ho was questioned respecting his knowledge of. Arthur Orton, the son of a butcher at Wapping, and whose name has boon frequently mentioned in eolmeotion with the claimant's identity. The claimant positively denied that ho was Arthur Orton, and narrated various incidents of his acquaintance with that person. Ho denied that he had changed the colour of his hair since tne commencement of the trial. The Chili Commission was then put in by the Solicitor-General, and a long correipondence nraaread.. The Prince and Princess of Wales were in' court during the last hour of the hearing-on. Tuesday. "
2250,908,art0002,"The Industrial Review, Social and Political.",British Library Heritage Made Digital Newspapers,1877-09-08,1877,9,8,"London, England",2791,0.9841,liberal,2d,"THE CLERGY AND TRADE UNIONS.  LETTER FROM REV. JOIIN OAKLEY.  I did not at once respond to your invitation in July, partly because I thought your circular might more usefully draw out some who had not had my recent opportunities of saying what I thought (an expectation which I am glad to see has not been disappointed), partly because a sudden pressure of other work made it impossible. Since then several short absences from London seem to have been more fatal to letter-writing than a longer one might have been. And now on regaining a little leisure, I find a letter in your columns (of Aug. 4) from my old friend Mr. Hansard, to which—as chairman of the committee which called the conference out of which the correspondence has arisen—l am, perhaps, the fittest person to offer a reply. Mr. Hansard declined to ""take pare"" in our discussions, thinking them "" absolutely useless."" ""It is too late (he thinks) in the day for the clergy to come forward as the promoters and defenders of trade unions."" But I beg leave to say, first that no one reSpuitaibio for the) movement "" came forward"" as a ""promoter and defender of trade unions."" It was probably as complete a surprise to other members of the committee as it was to myself, to find after the first meeting that our line of thought and action was taking, in great measure, that direction. Several members at first stoutly resisted the tendency. We came forward, as we said in our circulars, and in the speeches of all those of us who spoke first, as learners, pure and simple, on a subject of which we felt ignorant, and were ashamed of our ignorance. Some of us had felt an instinctive dislike of being eKpected to say "" Amen "" at the habitual maledictions of the workmen and their unions, especially of the Agricultural Labourers, which no ono will deny to have been current amongst the upper classes, and especially that section of them the religious rich, from whom we seem to be expected to take our political and social opinions ready-made. And some leading members of a society of young clergymen in London, taking up a thread which had been dropped in the Midlands at the time of one of the Church Congresses, decided to try and get some authentic information from the members of the unions themselves, which they have been for the most part ready to give, and have given us most courteously. It specially behoves me to say nothing tending to commit others to opinions about our conferences which they may not share. But, to speak as guardedly as I can, I have no hesitation in saying that much has been learnt, many prejudices dispelled, some accepted accusations against the unions utterly refuted, and an impression of their generally beneficial action, received by most of us, tf not by all, who have attended our conferences. Whether a reciprocal dispersion of delusions has taken place it is not for me to say, but this I do say; to any one who knows anything of the currents of clerical opinion, and the ways in which it is formed, and the tendency of whole classes of the wealthier laity to assert a kind of right to the support of the clergy in any enterprise or line of thought and speech they may have taken up, (as well they may, considering that they have bought and paid for a good many of us, right off),  [PRICE TWOPENCE.  it is plain enough that the mere holding of such conferences at all is clear gain, first to the clergy, and then, I believe, to the Church and to the country. Here, at all events, my friend and I shall not differ very widely. Indeed, I have very little difference whatever with him, when we touch the feelings and convictions at the bottom of both our minds,— though I do regret deeply that he did not see his way to giving us the beneat of his help and counsel when we asked him. But I am quite old enough to remember (albeit as scarcely more than a boy) those earlier movements in which Mr. Hansard was able to take so much more intelligent and active a part; and I do not like to echo the somewhat bitter reflections which he makes for fear of misunderstandings which perhaps he need not fear or feels entitled to disregard. But there is no doubt that his experience of former efforts to bring about a better understanding between the Church and the people has cost us the loss of his co-operation in the present movement—whatever those efforts may or may not have cost him. The fact is the time was not ripe for proclaiming on the house-tops in 1851 that the "" Church of Christ is essentially a democratic Church,"" as Mr. Hansard and Mr. Kingsley tried to do then—with the result which Mr. Hansard truly describes. 1848 was still too recent. In 1877 the time is quite ripe, and a silent revolution is being effected in the Church of England, of which the recent conferences were a mere symptom, and a minor symptom; a revolution which is still only in its earliest stages, and which will certainly witness strange sights—though few, I believe, more beneficial—than that of dignitaries and curates side by side in conference with working men, as to the best means of bringing the social problems of the nineteenth century back into the light of the morality and the ideas of the society founded by Jesus Christ.  If I am asked for the results of our movement, I answer, first, that it is too soon to look for much effect of any kind; second, that the direct good effect to be looked for is just of that general and indefinite kind already pointed to, but which cannot be produced and shown; thirdly, that two direct and not inconsiderable results can already be seen. First is the fact that the subject of trade unions at length finds a place in the programme of the approaching Church Congress at Croydon; that characteristic experiment in developing represen • tative institutions for the Anglican Church (composed at prose .t of such persons only as can take a 7s. 6d. ticket, and, ordinarily, a long railway journey, and live at their own cost for a week in a country town, and no otherwise specially qualified), which in spite of interested disparagement from without, and shortsighted manipulation from within, is rapidly educating Churchmen in the duty of devising some more genuinely democratic organization for what still calls itself the Church of the people, and is still the most powerful national branch of the great Christian Society in the world. Only Churchmen know perhaps all that this fact implies But I assure you that Dissenters need not disdain the victory of having helped to drive the Church, which is still to so large an extent the private property of the peers and the squires, to coal.  Rider seriously what her ministersought to say to the labourers who have dared at length to call their souls their own; and to the artizans who have claimed the same right to combine for selfprotection, as the capitalists have long exercised for self-aggrandisement, and the landed proprietors possess in an hereditary chamber of the legislature, and a House of Commons in which seats cost five thousand pounds! The second result is the useful and interesting correspondence in your columns, and its direct product the instructive and valuable paper of Mr. Lloyd Jones, which I hope may, when completed, see the light in a more permanent form. I wish we could have them to circulate at the forthcoming Congress. If you will let me I will return at another time to one or two of the points with which he deals so successfully. At present I merely observe that a year ago no one would have thought of starting this frank interchange of political and social ideas between the clergy and the people! I hardly know whether Mr. Hansard is more displeased at the youth of some, or the age and dignity of others of our Committee. If it be the former who make him distrustful of us, I entreat him to get rid of all idea that any motive actuated or actuates any of them, but the simple desire to do something, somehow, towards making the Church of England once more in fact as well as in name the Church of the people; and to see if the new popular force of combination be really a hindrance, and might not rather, if better understood, be found a help, in the way of doing We. I can testify that the endeavour has brought together, as I have scarcely ever seen brought together before, those who are called High, Low, and' Broad Churchmen, both older and younger. If it be the dignitaries who stir him to impatient disapproval, I can only say that, for the most part, deans and canons would have small reason to complain of a little gentle laughter at their expense, if they were seen suddenly ""patting the working classes on the back ""—as Mr. Hansard puts it, with the tone of genial laughter in his words. I do not presume, with him, either to criticise, or apologise for ""the superior clergy."" But the plain fact is that none of those who have joined us need any apology for leading a popular movement, beyond the antecedents of their own lives. Mr. Cremer's—or was it Mr. Howell's—suggestive question to us—which Mr. Hansard practically echoes—"" Where were you all 30 years ago ? ""—is one which, whether to the point or not, in the case of most of us scarcely admits of an explicit answer! But some of us were certainly laying the gound for our present action. A quarter of a century ago Mr. Hansard had no doubt laid the foundations of his life-long liberalism in the Rugby of Dr. Arnold. For another, I was probably learning many lessons (besides my Latin gramme)) from the struggles and the fate of another reforming clergyman and Schoolmaster, Mr. Whiston, of Rochester. And it is only fair to assume that others, who now get scanty thanks for seeming to enter without due acknowledgment into the labours of those honoured friends of Mr. Hansard's, who called themselves Christian Socialists, have no more forgotten those earlier thinkers and workers than the present writer has. And it may reasonably be supposed that in silent study, and thought, and observation, some of them were laying the foundation of that high culture, wide learning, and praotical sagacity, which have since given us—for example, the most popular, religious book of our day (I refer to Dr. Farrar's ""Life of Christ,"") and have taught others to combine with their rare refinement and still rarer condition, the popular sympathy and faculty of adaptation, which have known h‘,w to make the most impracticable of English Cathedrals the )st popular Church of the hugest city in the world. Pray pardon the length of this letter, and believe me, with thanks and good wishes, your faithful servant, Broke Farm, Halstead, Sevenoaks,  lOILN OAItLEY.  September, 4th, 1877.  THE LABOUR AND 0111 ER MAPRETS. ""It is,"" saps Capital and Labour, ""a peculiar fact, that leads one to doubt whether trade is really sound, that whilst the value of raw material is increasing, that of manufactured goods barely keeps stationary, and rather tends downwards than otherwise. ; , , Both raw cotton and *ool figure for an improvement,  September 8, 1877.  and not only that, but the increase in values is greater than that of quantities."" Why should this puzzle men who know all about the science of political economy? If they have a science in hand, with the principles and details of which they are as competent to deal as they profess to be, they should have no difficulty in explaining to the working men of the country a matter which, if explained, might not appear quite so puzzling or peculiar. We imagine if the employers' paper made an earnest and honest effort to understand the two puzzles contained in our extracts, it might succeed; if not to the satisfaction of the Associated Masters, whose property it is, at least to the advantage of men who prefer the truth to the promotion of any special interest. The first question we should wish to see explained is why raw material, such as cotton and wool, are rising in price, while the manufacture of these is falling ? and why labour in a parallel position, instead of rising in price like wool and cotton, has been and is falling rapidly ? and why the manufacturers who insist that reductions in the price of manufactured articles necessarily involve reductions in price of labour, do not go into the wool and cotton markets and preach the same doctrine to the sellers of these articles ?  Why should labour go down when raw material is going up And why is a reduction in the one case regarded as in accordance with the principles of political economy, and therefore absolutely natural and necessary, awl in the other case not so, its position being only slightly "" peculiar,"" and somewhat puzzling ? There must be some reason for this, and we should like to hear it stated from the "" employers' point of view."" The employers would never think of saying to a wool merchant or a cotton merchant, ""Our prices in manufactured goods are going down, and your prices for the raw material are going up most inconveniently, and must come down ; "" but they will turn to the simple-minded, puzzled workmen mid say, ""There has been a fall in the price of our goods, and we must have a reduction in your wages to compensate us."" Why does the same science deal so differently with two classes of persons placed in a like position? The ready reply is that there is no likeness in the position. This, however, is not correct. The two articles—raw material and labour—go in conresponding quantities into the production of the same manufactures, and when there is slackness of demand and cloolonaimi of price in one commodity, there ought to be slackness of demand and declension of price in the other; and when there is briskness and advance in one, there ought to be briskness and advance in the other, always excepting special circumstances which may exceptionally influence the one or the other.  What the working man should know in this matter is, that the words ""demand and supply,"" as ordinarily used, do not explain the situation; and yet ""demand and supply,"" rightly understood and applied, do explain it. There are in reality three markets, not one market. And the operation of demand and supply in each of these is distinct, and should be considered by itself before a right explanation can be given. First, there is the market for raw material, and this depends on amount of crop, on, we may say, a season's or a year's produce; and this is not capable of sudden or indefinite increase. Raw material is usually hold in largo quantities, and in comparatively few hands; and as a rule those who hold it have a power of playing with the market speculatively, keeping it back for a rise, especially when the prospects of trade are favourable. In a season of brisk demand the manufacturers are in the hands of the holders of raw material, and at all seasons the holders of this material operate only with regard to activity of demand in regulating price—they deal simply with the demands of the customers who come to them to buy, and do not care or enquire how profits stand in the market for manufactured goods,  The manufacturers act front reasons of their own. They possess a large producing power which costs much even to stand idle, and which, therefore must, if possible, be kept in motion however slight the profit, during seasons of slack trade. Besides, each manufacturer not only desires to retain his usual customers but to fully employ his productive resources by forcing sales wherever he can by cheapness. In this way production is kept up in declining markets, and raw material and labour remain in request when manufactured goods are barely remunerative, and hence there is frequently no necessity to reduce the price of either the raw "
2250,406,art0024,"The Industrial Review, Social and Political.",British Library Heritage Made Digital Newspapers,1878-04-06,1878,4,6,"London, England",304,0.987,liberal,2d,"INDUSTRIAL REVIEW  OUR LEGISLATORS.  THE unruly debate on the Irish Sunday Closing Bill in the House of Commons deserves special notice, as it embodies what is a clear abuse of the rules of Parliament.  The Irish Sunday Closing Bill has been accepted in principle by large majorities both of the Irish members and of the whole I-lour. It is open to those who oppose it to introduce amendments, and some suggested by the Government involve very important alterations. But when the House went into Committee op Monday, Mr. Murphy, an Irish member, immediately moved that the chairman do leave the chair, and supported his absurd proposal in a speech of two hours and a half, entering at length into the principle of the Bill. Mr. Onslow followed in a speech almost as long, and Mr. O'Sullivan succeeded. These three orations were evidently made merely for the purpose of obstruction, as they lasted for nearly five hours and a half, and the same object was sought by repeated attempts at a ""countput."" The novelty of the situation was that this time the minority was not exclusively Irish; in fact it was composed, in the main, of English members, while the frustrated majority had for snpporters Mr. Biggar, Mr. Parnell, Mr. O'Donnell, and other eminent Obstructionists, who were ""hoist -with their own petard,"" and forced to recognise that more than one can play at the game of pertinacious resistance. There were, however, excited Irishmen on both sides of the fray, and it must have been an edifying sight to see the Home Rulers, and even their subspction, the Obstructionists, divided among themselves. Major O'Gorman and Mr. P. j. Smyth resolutely divided, against their compatriots, and carrying with them not quite a dozen Irish members, found help from a compact band of English representa, "
2595,910,art0005,The Forest of Dean Examiner :,British Library Living with Machines Project,1875-09-10,1875,9,10,"Blakeney, Gloucestershire, England",185,0.9572,independent,1d,"WOOLISTON.  As UNDISTAICLIC IN DIYVICULTY.—A somewhat singular ease arose at Woolaston, on Monday, in respect to which there were some fears that the interment of the unfortunate mate of the steam tug. Earl of Glamorgan, who was drowned in the Severn a few days ago, would not be allowed to take place without a ""scene."" It appeared that the parish undertaker had received an order to make a parish coffin, at that time the body not having been recognised. Before, however, the coffin was made it was ascertained who the demised was, and some instructions were given that a "" respectable "" interment should take place, and a coffin befitting the position of the unfortunate man provided. The undertaker accordingly substituted for the parish coffin one of more expensive make, and the body was duly placed therein and screwed down. After the adjourned inquest on Monday, the brother of deceased repudiated the expense, and the ondertiker appealed to the coroner, who was powerless, and the former declared that the body should not be given up until his claims was discharged. "
2595,420,art0027,The Forest of Dean Examiner :,British Library Living with Machines Project,1877-04-20,1877,4,20,"Blakeney, Gloucestershire, England",113,0.9442,liberal,1d,"THE FINE ART CO-OPERATIVE SUPPLY  ASSOCIATION,  153, HIGH HOLBORN, LONDON, W.C.,  Are now prepared to furnish each Subscriber to this week's paper with one copy of a Magnificent Chromo•  Lithograph, entitled  ""THE RUSTIC BEAUTIES.""  Only a limited number of impressions of ""The Rustic Beauties"" can be issued, and no one should miss this opportunity to procure it, which can alone be done by means of the subjoined voucher.  All applications will be attended to in rotation, hence the advisability of their being made at once.  It is particularly requested that the names and addresses of applicants may be written as legibly as possible, and that the instructions below may be carefully attended to. "
2596,714,art0052,The Cotton Factory Times.,British Library Living with Machines Project,1893-07-14,1893,7,14,"Manchester, Greater Manchester, England",16,0.9119,neutral,1d,"Black and white, brown and slate, Jackson's Hat's are 3e. Sd. _ _  48, Alarket•street, Daivactiest4r. "
2596,626,art0016,The Cotton Factory Times.,British Library Living with Machines Project,1903-06-26,1903,6,26,"Manchester, Greater Manchester, England",1991,0.9578,neutral,1d,"Whiffles.  CHAPTER lll.—(Continued.) A high colour and sparkling eyes are not, in all cases, signs of health. Dr. Abbot has hoen these, and with grave anxiety he boa proscribed a long lie& voyage, thorough change, and rest front every eare,  as Mrs. Gunsley's best and only chance of recovery. He has told her so. But to leave her husband, to ' leave her darling children, how can she do it ? Many bidden tears, umseen by anyone, even during the children's half-hour, have fallen among the fleecy wraps. To leave all her dear ones, perhaps to die far away from them ! Mrs. Gunsley knew she might not live to return. There was hope that the voyage might work a cure. A hope—not a certainty. Pr. Abbott is never known to deceive his patients; he had tot!' Mrs. Gunsley what he believed to be the hest course for her, and sir holiet cd him. So did her husband. and Mr. Guns ey had only been waiting from week to week till some troublesome. long-delayed law business dlould be settled. to take active steps in the matter Pis wife gmat be, for a time. separated from her children; there was no help for that, but, once freed from this anxiety, he would go with her wherever she might he sent. ""When once the case is concluded. I will take her to the South Pecific,"" he had said to himself. ""We will cruise  among the islands, and stay for a while at Samoa, the finest climate in the world. pehaps we will go on to New Zealand, and, if it suits Amy, and there is any doubt that it might not be well for her to return home, I may even send for the children and settle there. A most unselfish thought, for Mr. Gundey thoroughly English to the very backbone, and of his own inclination would not exchange the sight of his own English fireside for the most beautiful scenery or finest climate in the world. The tedious lawsuit is ended, but the anxiety has not ended with it. A 6 the door of the small drawingroom opens, Baby tumbles forward with a glad cry, with all his weight crushing poor. patient Phcebe's face quite flat, and struggles to reach his father. Mr. Gunsley stoops over the sofa and kisses his wife in silence.  ""You have had a cold drive, dear,"" she says. He takes her hand fondly 112 his. 'The case is settled, Amy."" How the thin fingers twine lovingly round his own. ""It has gone against us, dear wife! I hardly thought it could. The right of the matter seemed so very plain. But the judge held a different view, legally, I cannot, dare not, say that he was wrong. The decision entirely hung upon that missing deed, for which such strict search has been made—depended upon whether that still exists. That my grandfather should have destroyed it is most improbable. I should have said impossible if he had been a different kind of man. But with all my endeavours I could not produce the deed."" "" Was the search that Lady Grey allowed at Upton Manor thoroughly carried out, do you think, Seth?"" asked Mrs. Gunsley, rising on her pillows. ""Baby, darling, if you hold poor old Phcebe over the fender close to the fire like that she will melt !"" "" The search was thorough,"" replied her husband, coming to the rescue, and picking up Baby, Phcebe and all. It was as strict a search as could be made, but, as you have heard, dear; much of the furniture was sold when the old place changed owners, and Walford and Watts are of opinion that the deed may have been accidentally carried away with it, and thus lost or destroyed. No! Further search would be useless. The case is over, Amy."" We have not lost all, dear! Indeed, I feel I have lost very little while I have you and the children."" Mr. Gunsley vvas silent. This lawsuit had made him a much pourer man. How hard to think of these dear ones leaving their pretty home—how hard to picture them in a small mean house, without their gardens, without servants—Mr. Gunsley cannot restrain a sigh. But he checks himself. Perhaps a way may yet be found out of it all. Of one way his wife's brother Jack has, even before the case was concluded, given him a hint. But everything is uncertain yet, every path seems full of difficulty. One thing only is clear —the children's Christmas must not be spoiled. Separation or poverty may be near at hand, but at least their last Christmas at Stanmore Lodge shall be a happy one. Baby jams Phoebe's silk-and-rubber face against his father's to kiss him. Catching sight of the queer patch, Mr. Gunsley laughs outright. "" Who did that ? Nursey 1 Well, nursey is a genius ! I bought the Christmas presents to-day, Amy,"" he goes on in a lighter tone. How I wished you had been with me, dear !"" . Mrs. Gunsley subsides on her pillow within answering smile. "" Jack went with me, and helped me choose. Indeed, I think most of the 'pieces of string' were his choice, and ho added to them considerably. But for him, Santa Claus would not have brought much this Christmas. Jack has been speaking again of that Australian plan, but we have agreed to let everything stand over for a week or two. I must have time to think. For a few days we will try to keep troublesome thoughts in check, dear, as much as we can, for Christmas' sake. I—""  Mr. Gunsley is interrupted. It isn't a whirlwind. It is Whiffles, followed by Seth. Both twins rush at their father. . .  ""Oh papa! papa! Self and me didn't know you were home! And we've had some more lovely, lovely cards! and Se ff did know his four times eight, and I nearly 'membered my ' jogglefry ;' I only said Lostalasia when I meant 'Merrika, and, papa, I upsetted all the ink—"" Well stops with a little gasp for breath. ""And Miss Dunn wasn't a bit cross,"" puts in Seth. "" Nursey was, and the soar went into Weir's eyes di eadful."" ""And. oh!"" cried the twins together, as Whiffles recovered herself, ""did you see Santy Claus ? Are the shops at Hartfield full and full of pieces of string ?'• Seth has climbed to his favourite place among the furs at the foot of mamma's sofa. Whiffles wriggles up on to her father's lee—he can make room for three, Plwebe included. Well doesn't wait for an answer to her questions. She very seldom does. ""Oh, papa!"" she cries, settling herself comfortably, "" Santa Claus piece of string is a most interesting book ! She read me some more of it to-day, because I was an imbleed. It is all about stories of finding most lovely, lovely things. And, papa, I want you to write a letter for me, and put it up the nursery chimney."" "" Up the chimney? What a queer place! Why, Well, what is that for ?""  ""It must go up the chimney, 'cane it's to Santy Claus,"" explains Weff, ""and I want you to write this: _  "" 'Dear Mr. Santy Claus,—Please don't forget me and Seff, and Edie, and Ronald, and everybody; and, please, if you don't mind, I should like to find a treasure tome.' "" .  Mr. Guns ley laughed. But he wrote the letter all the same, and IKhittes had the satisfaction of seeing it safely posted in the nursery chimney before she went to bed.  CHAPTER IV.  AUNT ABIGAIL  Two of the earliest Christmas cards, the angel and the bells, had been sent by the children's great-aunt Miss Abigail Gunsley, and, strange to say, had come from the old Manor house of Upton, of which by some curious turns of the wheel of fate, the old lady is once more an_intnate. _ .  ..... Abigail Gunsley had left the home of her fathers a little child of three; four years ago she returned to it. a woman of 66. To Whiffles and Seth Aunt Abigail is little more than a name. They know it is from her that Edith gets her second name. They have heard their father speak of her, and they have a vague sort of notion that Ronald has somehow offended the old lady, because his name was not Seth; when, as the eldest son, it should have been. Very unfair this, if true, for none of us have power 1.1 choose our own names, we have to take those that .. • given to us, and make the beat of them. The . were sent to Seth, the angel to Edith, none at all • , Ronald and Weff. But Ronald is not as keen after pretty cards as the little ones are, and Edith gave Weff the angel, $0 it did not matter much. Ronald has a dim recollection of a very tall, dark lady, with iron-gray hair, who rather frightened him. sturdy child as he was, during a short visit site mud to Stanmore Lodge five years ago. He remembers that he was not allowed to ride his rocking-horse during her stay, because of the ""bumping"" noise it made, and remembers how, long after the visitor had cone, nurse would say to him when he was naughty: ""What do you think you Aunt Abigail would say to that, sir l"" . . .  Ronald has quite given up the reeking-horse now, ever since he had Prince Charlie. The twins look upon it as their property, and generally ride it together, taking turns who shall be on its hack and vlio underneath, or behind, holding on to its tail. And there being no Aunt Abigal to object, Lump about the playroom to their hearts' content. Edith doesn't remember much of Aunt Abigail, she has us clearer recollection of her maid—Brooke—apd of the pretty little silky lapdog—Miss Abigail's constant companion. bfanana dons pot often talk about Miss Gunsley, but the chiklren know he writes to her sometimes, and they know too, that Edith's and Beth's birthdays are always honoured by an Aunt Abigail ""plane of string."" .  Nurse and Susan have a very clear recollection of the old lady indeed, though her visit was only a short one. arid in momenta of confidence they have been known to refer to her as ""a caution."" Uncle Jack has only seen her once, and if you had his genuine opinion you might find it the same Morris refers to her as ""a oner, and no mistake."" Which. considering how often, her dog trotting at her heels, or carried by Brooke, she ""rotated up"" Morris during her stay. interfering with his management of the horses, the stable, the loft, the garden, the shrubbery, and everything else, is not surprising. For many years Miss Gunsley had been her brother's constant companion. When he married she spent her time going from place to place, staying sometimes near the sea, then, tired of it, spending some months inland, always with Brooke—who has been her constant attend4nt since they were young women together—and generally with a dog. Since her return to Upton her letters seem to say that she is, or fancies herself to be, an invalid. Having not so much to amuse her, and less change in the quiet of the Manor House, she has taken to the study of her own health; arid her nephew, Mr. Gunsley, has no doubt she does that as energetically as everything else. Ho has much affection for Aunt She was very kind to him when he was a boy. (To be continued.) "
2596,1106,art0025,The Cotton Factory Times.,British Library Living with Machines Project,1903-11-06,1903,11,6,"Manchester, Greater Manchester, England",457,0.9414,neutral,1d,"The Present Pope. FROM "" MA.P.""  This is one of the reseons why I read everything I find in the newspapers about the new Pope. There is another reason. Somehow or other, the whole world has grasped the fact that the new Pope bars something that is so human, 60 brotherly, so simple in his character, that he is kin with the whole world —with those of another as well as with those of his own faith. Simplicity, gorN-1 -ss of heart, perity of conduct, always tell with the wcrrld, and these seem to be the dominating characteristics of Pius X. All I have read since his elevation to his sublime position confirms this estimate of his character. There are certain things in his acts which have almost a pathetic simplicity. When the Conclave was about to meet somebody asked Cardinal Sart°, as he then was, whether he knew French. lle replied that he did not know a word of any language but his ow-n; whereupon his interloctor exclaimed, ""Then you cannot be elected Pope."" ""Thank God,"" replied the simple priest, with great unction. And it may be rememlaered that when it became evident that votes were concentrating on him from the great rivals that were first in the running, Cardinal Sarto was seized with a panic, and gave his ignorance of French and of the ways as well of the _language of courtly and diplomatic, society as unanswerable grounds against his elevation to the position of one of the great powers of the earth. The family of the Pope have Joist none of their native simplicity here at Riese. The Pope's sister, Signora Teresa Parolin, has eight children, the daughters assisting, as formerly, at the little inn, and the sods serving in the little general shop next door. On the other aide is the house where Pius X. wat born, as fresh as whitewash can make it, with a brand-new tablet recording the happy event. The Parolin household are very ready to speak of their great relative, the only way in which they seem to realise his new position being that they all desire to go to Rome in the idea the 4 he could procure this pleasure for them. The late-Pope was an aristocrat by birth, and he had a mighty intelligence and a powerful will that drew people towards him by sheer force of superiority, but there was always a certain awe commingled with the admire. tion. In this way he powerfully impressed the imagination of Europe. The present Pontiff will probably in time have as great a position, but it will be by. the sheer force of sweetness and gentleness and simplicity. "
2596,620,art0009,The Cotton Factory Times.,British Library Living with Machines Project,1919-06-20,1919,6,20,"Manchester, Greater Manchester, England",8,0.9588,neutral,1d,CONSUM?TIVE CHILDREN.  SIX MILLION IN OUR COUNTRY'S SCHOOLS. 
2596,1120,art0020,The Cotton Factory Times.,British Library Living with Machines Project,1891-11-20,1891,11,20,"Manchester, Greater Manchester, England",371,0.9685,neutral,1d,"SO CALM I  ""Is this Mrs. O'Cleary 7"" asked his Honour, as dumpy, fat-faced female of forty-five waddled out. ""Yes, my darlint,"" she calmly replied, as she carefully wiped her nose. ""It's the same charge as before, Mrs. O'Cleary."" ""I expected it, your Honour."" ""Then you admit that you were drunk?"" ""Oh, yes, darlint. lam not the lady who drinks a gin sling and then lies about it."" ""That's in your favour, but I told yon if you came here again I'd have to bear on."" ""So you did, chrlint, so you did, and I shan't blame you a bit."" ""I'll make it thirty days this time."" ""Thanks. That will let me out about the right time to begin house cleaning. Good-bye, your Honour, and may the biggest watermelons in the patch come to your table.""  "" an ma, SEZ I.""  ""Caroline Baker, where do you reside?"" asked his Honour of the third. "" Whar' does I resode ? I dosn' zactly cotch on to dat, Jedge,"" she replied. ""Do you live here in the city ?"" ""Bartin I does."" ""How often have you been arrested?"" ""How often? Wall, I'ze got it sot down on de kitchen doah wid chalk, but I disremember the times."" ""I think I've fined you twice and sent you up once."" ""Like as not, Jedge. I was talkin""bout dat werry thing only de odder day v,id Mrs. Jackson. Says she, 'it wasn't right to send you up.' Says I, it wasn't, and says she—.' ""Mrs. Baker, you were drunk again last night."" 'Says she, 'do Jedge seems to be down on you,' an' says I—."" ""Mrs. Baker, I shall have to send you up."" ""Says I, yes he does, and then she says, says she, ""it's a shame, so it is, to send a poor, hard-working—."" ""Mrs. Baker, you are sent up for thirty days."" ""And says 1, Mrs. Jackson, de cull'd folkses who have to drink de cheapest whisky am sent up fur de longest time, an' says she, she says—."" ""Please fall back."" ""An' says she, she—."" ""Remove the prisoner."" ""An' says she, 'so it is, Mrs. Baker, so it--so '—says I—says—she—."" And the rest was lost as she entered the corridor. "
